order.Id,correlationOrder,associatedDocument,associatedDocumentDate,type,infraType,id,inventoryId,reference,complements,name,subscriberId,phoneNumbers,subscriberIdOld,businessUnity,fantasyName,email,phone,hasSlot,mandatoryType,date,workOrderId,product,equipment,code,description,observation,updateDate,action,task,fieldActivity,reason,orderItem,statusCode,scenario
"random1","random2","random3","random4","Instalacao","FTTP","random5","random6","random7","random8","random9","random10","random11","random12","random13","random14","random15","random16",true,"Permitido","2022-01-01T12:00:00","","random17","random18","7029","Resolução de pendência de agendamento","2022-01-01T12:00:00","fechar","{}","random19","random20","random21",200,"Success"
"random22","random23","random24","random25","Retirada","FTTH","random26","random27","random28","random29","random30","random31","random32","random33","random34","random35","random36","random37",false,"Permitido","2022-01-02T13:00:00","","random38","random39","7016","Reagendamento por ausência","2022-01-02T13:00:00","fechar","{}","random40","random41","random42",400,"Bad Request"
"random43","random44","random45","random46","Bloqueio","FTTP","random47","random48","random49","random50","random51","random52","random53","random54","random55","random56","random57","random58",true,"Permitido","2022-01-03T14:00:00","","random59","random60","7100","Resolução de pendência de contato de obra","2022-01-03T14:00:00","fechar","{}","random61","random62","random63",401,"Unauthorized"
"random64","random65","random66","random67","Desbloqueio","FTTH","random68","random69","random70","random71","random72","random73","random74","random75","random76","random77","random78","random79",false,"Permitido","2022-01-04T15:00:00","","random80","random81","7029","Resolução de pendência de agendamento","2022-01-04T15:00:00","fechar","{}","random82","random83","random84",403,"Forbidden - Scope Not Permitted"
"random85","random86","random87","random88","AssociarCPE","FTTP","random89","random90","random91","random92","random93","random94","random95","random96","random97","random98","random99","random100",true,"Permitido","2022-01-05T16:00:00","","random101","random102","7016","Reagendamento por ausência","2022-01-05T16:00:00","fechar","{}","random103","random104","random105",404,"Not Found"
"random106","random107","random108","random109","Modificacao de Velocidade","FTTH","random110","random111","random112","random113","random114","random115","random116","random117","random118","random119","random120","random121",false,"Permitido","2022-01-06T17:00:00","","random122","random123","7100","Resolução de pendência de contato de obra","2022-01-06T17:00:00","fechar","{}","random124","random125","random126",406,"Not Found"
"random127","random128","random129","random130","RemanejamentoPonto","FTTP","random131","random132","random133","random134","random135","random136","random137","random138","random139","random140","random141","random142",true,"Permitido","2022-01-07T18:00:00","","random143","random144","7029","Resolução de pendência de agendamento","2022-01-07T18:00:00","fechar","{}","random145","random146","random147",429,"Too Many Requests - Exceeded Quota"
"random148","random149","random150","random151","Instalacao","FTTH","random152","random153","random154","random155","random156","random157","random158","random159","random160","random161","random162","random163",false,"Permitido","2022-01-08T19:00:00","","random164","random165","7016","Reagendamento por ausência","2022-01-08T19:00:00","fechar","{}","random166","random167","random168",500,"Internal Server Error"
"random169","random170","random171","random172","Retirada","FTTP","random173","random174","random175","random176","random177","random178","random179","random180","random181","random182","random183","random184",true,"Permitido","2022-01-09T20:00:00","","random185","random186","7100","Resolução de pendência de contato de obra","2022-01-09T20:00:00","fechar","{}","random187","random188","random189",503,"Service Unavailable"
"random190","random191","random192","random193","Bloqueio","FTTH","random194","random195","random196","random197","random198","random199","random200","random201","random202","random203","random204","random205",false,"Permitido","2022-01-10T21:00:00","","random206","random207","7029","Resolução de pendência de agendamento","2022-01-10T21:00:00","fechar","{}","random208","random209","random210",504,"Gateway Timeout"
